County,Year,Number,Rate (per 10k)
Sonoma,2005,97.0,132.41
Sonoma,2005,79.0,34.61
Sonoma,2005,117.0,50.37
Sonoma,2006,12.0,178.12
Sonoma,2006,43.0,73.43
Sonoma,2006,92.0,151.07
Sonoma,2006,29.0,22.84
Sonoma,2006,80.0,58.65
Sonoma,2006,12.0,137.3
Sonoma,2006,20.0,241.25
Sonoma,2006,19.0,96.79
Sonoma,2006,31.0,150.75
Sonoma,2006,38.0,57.27
Sonoma,2006,87.0,122.48
Sonoma,2006,68.0,30.04
Sonoma,2006,105.0,46.21
Sonoma,2007,15.0,882.35
Sonoma,2007,45.0,75.1
Sonoma,2007,71.0,113.17
Sonoma,2007,38.0,28.36
Sonoma,2007,61.0,43.28
Sonoma,2007,23.0,35.4
Sonoma,2007,79.0,114.01
Sonoma,2007,70.0,31.11
Sonoma,2007,78.0,35.21
Sonoma,2008,12.0,652.17
Sonoma,2008,12.0,213.29
Sonoma,2008,37.0,59.92
Sonoma,2008,84.0,129.99
Sonoma,2008,32.0,23.21
Sonoma,2008,58.0,39.8
Sonoma,2008,34.0,53.19
Sonoma,2008,90.0,132.76
Sonoma,2008,53.0,24.29
Sonoma,2008,86.0,39.37
Sonoma,2009,16.0,243.53
Sonoma,2009,50.0,79.67
Sonoma,2009,114.0,173.3
Sonoma,2009,56.0,38.91
Sonoma,2009,111.0,74.21
Sonoma,2009,45.0,74.26
Sonoma,2009,65.0,102.28
Sonoma,2009,86.0,43.1
Sonoma,2009,88.0,41.7
Sonoma,2010,14.0,717.95
Sonoma,2010,16.0,256.36
Sonoma,2010,56.0,88.44
Sonoma,2010,99.0,148.78
Sonoma,2010,66.0,43.79
Sonoma,2010,113.0,71.81
Sonoma,2010,33.0,55.31
Sonoma,2010,93.0,149.4
Sonoma,2010,83.0,43.87
Sonoma,2010,98.0,50.0
Sonoma,2011,12.0,547.95
Sonoma,2011,19.0,297.45
Sonoma,2011,43.0,70.48
Sonoma,2011,81.0,125.5
Sonoma,2011,68.0,44.62
Sonoma,2011,92.0,58.14
Sonoma,2011,24.0,40.72
Sonoma,2011,78.0,124.09
Sonoma,2011,64.0,34.34
Sonoma,2011,97.0,49.43
Sonoma,2012,14.0,660.38
Sonoma,2012,18.0,288.04
Sonoma,2012,42.0,71.79
Sonoma,2012,78.0,124.34
Sonoma,2012,50.0,32.21
Sonoma,2012,88.0,54.25
Sonoma,2012,32.0,54.15
Sonoma,2012,66.0,104.0
Sonoma,2012,79.0,42.55
Sonoma,2012,91.0,47.37
Sonoma,2013,14.0,213.3
Sonoma,2013,40.0,70.14
Sonoma,2013,82.0,133.44
Sonoma,2013,73.0,46.49
Sonoma,2013,82.0,49.82
Sonoma,2013,28.0,46.91
Sonoma,2013,71.0,109.64
Sonoma,2013,61.0,34.29
Sonoma,2013,63.0,33.59
Sonoma,2014,21.0,310.18
Sonoma,2014,25.0,45.18
Sonoma,2014,64.0,106.03
Sonoma,2014,64.0,40.38
Sonoma,2014,106.0,63.22
Sonoma,2014,21.0,34.81
Sonoma,2014,81.0,121.4
Sonoma,2014,68.0,37.96
Sonoma,2014,71.0,39.24
Stanislaus,2005,15.0,363.2
Stanislaus,2005,20.0,138.14
Stanislaus,2005,58.0,331.08
Stanislaus,2005,38.0,34.78
Stanislaus,2005,92.0,81.03
Stanislaus,2005,58.0,23.07
Stanislaus,2005,137.0,50.99
Stanislaus,2005,12.0,138.89
Stanislaus,2005,23.0,115.71
Stanislaus,2005,46.0,67.09
Stanislaus,2005,104.0,144.63
Stanislaus,2005,105.0,48.93
Stanislaus,2005,161.0,73.09
Stanislaus,2006,33.0,223.99
Stanislaus,2006,44.0,263.14
Stanislaus,2006,52.0,46.05
Stanislaus,2006,107.0,91.61
Stanislaus,2006,61.0,23.61
Stanislaus,2006,123.0,44.42
Stanislaus,2006,18.0,89.17
Stanislaus,2006,45.0,67.28
Stanislaus,2006,103.0,146.39
Stanislaus,2006,89.0,42.76
Stanislaus,2006,163.0,76.58
Stanislaus,2007,17.0,391.71
Stanislaus,2007,21.0,149.08
Stanislaus,2007,35.0,219.03
Stanislaus,2007,62.0,53.84
Stanislaus,2007,123.0,103.55
Stanislaus,2007,76.0,28.5
Stanislaus,2007,135.0,47.36
Stanislaus,2007,30.0,142.34
Stanislaus,2007,50.0,76.32
Stanislaus,2007,126.0,181.74
Stanislaus,2007,91.0,44.63
Stanislaus,2007,175.0,84.25
Stanislaus,2008,16.0,376.47
Stanislaus,2008,20.0,147.44
Stanislaus,2008,35.0,220.12
Stanislaus,2008,46.0,39.84
Stanislaus,2008,107.0,90.67
Stanislaus,2008,70.0,25.73
Stanislaus,2008,149.0,51.4
Stanislaus,2008,14.0,168.88
Stanislaus,2008,32.0,150.76
Stanislaus,2008,70.0,109.51
Stanislaus,2008,96.0,141.32
Stanislaus,2008,98.0,49.91
Stanislaus,2008,160.0,79.7
Stanislaus,2009,12.0,270.88
Stanislaus,2009,20.0,479.62
Stanislaus,2009,28.0,208.02
Stanislaus,2009,46.0,298.41
Stanislaus,2009,50.0,43.96
Stanislaus,2009,148.0,126.71
Stanislaus,2009,101.0,36.24
Stanislaus,2009,191.0,64.92
Stanislaus,2009,17.0,192.74
Stanislaus,2009,20.0,98.51
Stanislaus,2009,34.0,162.31
Stanislaus,2009,58.0,94.88
Stanislaus,2009,106.0,163.71
