STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,DSND,DSNW,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,PRCP,SNOW,TAVG,TMAX,TMIN
USC00044863,LEBEC,34.8328,-118.865,1092.7,2007,,0,0,,0,0.0,0.70,,,6.03,0.0,,,
USR0000CFO2,FORT ORD NUMBER 2 CALIFORNIA,36.6269,-121.7864,149.4,2007,53,,,28,,,,91,3718,,,54.9,63.2,46.6
USC00046926,PINNACLES NATIONAL MONUMENT,36.4819,-121.1822,398.4,2007,580,0,0,14,0,0.0,0.64,110,2929,6.94,0.0,57.8,77.6,37.9
USR0000CCHU,CHUCHUPATE CALIFORNIA,34.8083,-119.0125,1493.5,2007,199,,,2,,,,101,5303,,,50.7,69.4,32.0
USC00042327,DEEP CANYON LAB,33.6513,-116.3763,365.8,2007,,0,0,,0,0.0,,,,,0.0,,,
USC00044628,LA CRESCENTA FC251C,34.2222,-118.2377,470.9,2007,,0,0,,0,0.0,1.72,,,10.54,0.0,,,
USC00043417,GILROY,37.003,-121.5608,59.1,2007,608,,,21,,,1.18,101,2225,11.18,,60.1,73.8,46.4
USR0000CCHI,CHILAO CALIFORNIA,34.3317,-118.0303,1661.2,2007,1193,,,16,,,,100,3189,,,59.0,68.5,49.5
USC00040029,ADIN RANGER STATION,41.1936,-120.9447,1278.6,2007,,17,12,5,10,7.5,0.60,,,10.96,37.2,,,34.0
USR0000CPAT,PATTY MOCUS CALIFORNIA,40.295,-122.8667,1066.8,2007,985,,,17,,,,103,3811,,,56.7,67.4,46.0
USR0000CELI,MOUNT ELIZABETH CALIFORNIA,38.0631,-120.2469,1503.6,2007,839,,,13,,,,95,4122,,,55.7,64.3,47.1
USR0000CPAR,PARKFIELD CALIFORNIA,35.8989,-120.4319,467.9,2007,1187,,,11,,,,113,2867,,,60.3,79.1,41.4
USW00023190,SANTA BARBARA MUNICIPAL AIRPORT,34.4258,-119.8425,2.7,2007,,,,,,,1.68,,2529,8.39,,,,
USR0000CELM,EL MIRAGE CALIFORNIA,34.6344,-117.5503,877.8,2007,1976,,,6,,,,114,2802,,,62.7,80.1,45.2
USC00040144,ALTADENA,34.1822,-118.1383,343.5,2007,,0,0,,0,0.0,1.55,,,10.54,0.0,,,
USW00003159,LANCASTER WM J FOX FIELD,34.7411,-118.2116,712.6,2007,2078,,,3,,,0.50,113,2910,1.93,,62.7,78.6,46.9
USR0000CBUL,BULL FLAT CALIFORNIA,40.4808,-120.1139,1339.6,2007,352,,,-9,,,,106,6407,,,48.1,65.4,30.8
USR0000CBUR,BURNS CANYON CALIFORNIA,34.2103,-116.6339,1828.8,2007,1178,,,9,,,,96,3646,,,57.7,66.4,49.0
USC00047470,RIVERSIDE FIRE STATION 3,33.9511,-117.388,256.0,2007,,0,0,,0,0.0,2.05,,,3.13,0.0,,,
USS0019L24S,Heavenly Valley,38.92,-119.92,2615.8,2007,3,159,,-4,67,,1.70,79,8495,22.19,,41.7,51.7,31.6
USR0000CLHO,LOST HORSE CALIFORNIA,34.0178,-116.1878,1280.2,2007,1584,,,16,,,,107,,,,60.6,74.6,46.6
USS0020K04S,Independence Camp,39.45,-120.29,2134.5,2007,12,142,,-5,57,,1.70,88,7785,20.18,,43.5,55.4,31.6
USR0000CASC,ASH CREEK CALIFORNIA,41.2769,-121.9794,975.4,2007,106,,,1,,,,104,6060,,,48.1,67.0,29.2
USR0000CASH,ASH VALLEY CALIFORNIA,41.0519,-120.6861,1554.5,2007,120,,,-14,,,,102,6925,,,45.7,61.9,29.6
USC00047109,POTTER VALLEY POWERHOUSE,39.3619,-123.1286,310.3,2007,628,0,0,15,0,0.0,2.13,106,3188,27.37,0.0,57.1,73.5,40.8
USC00047228,RAMONA FIRE DEPARTMENT,33.0113,-116.908,448.1,2007,,0,0,,0,0.0,1.50,,,7.44,0.0,,,
USR0000CRUS,RUSH CREEK CALIFORNIA,41.2944,-120.8639,1463.0,2007,514,,,5,,,,100,5729,,,49.7,59.4,40.1
USC00046252,NORTH FORK RANGER STATION,37.2329,-119.5097,806.2,2007,,0,0,,0,0.0,,,,,0.0,,,
USR0000CBUU,BUTTERCUP CALIFORNIA,32.7397,-114.8839,66.1,2007,4708,,,24,,,,117,797,,,75.4,90.2,60.6
USC00046498,ORICK PRAIRIE,41.3619,-124.0191,48.8,2007,,,0,,,0.0,,,,,0.0,,,
USC00046136,NEVADA CITY,39.2466,-121.0008,847.6,2007,699,8,3,18,8,8.0,3.29,98,3787,45.14,14.1,56.0,67.4,44.5
USC00049660,WHITTIER CITY YARD FC106C,33.9758,-118.0222,135.9,2007,,0,0,,0,0.0,1.00,,,6.07,0.0,,,
USC00049781,WOODLAND 1 WNW,38.6829,-121.794,20.4,2007,1489,0,0,23,0,0.0,1.76,109,2032,11.67,0.0,63.3,76.3,50.3
USR0000CKET,KETTLEMAN HILLS CALIFORNIA,36.0333,-120.0569,246.9,2007,2383,,,28,,,,108,1854,,,66.3,76.5,56.1
USS0020K05S,Independence Lake,39.43,-120.31,2545.7,2007,56,233,,-2,111,,2.40,86,7918,34.28,,43.0,50.8,35.2
USR0000CMIO,MILO CALIFORNIA,36.2314,-118.8689,586.1,2007,2248,,,27,,,,114,2276,,,64.6,76.0,53.3
USS0020L02S,Rubicon NUMBER 2,39.0,-120.13,2343.6,2007,73,168,,3,69,,2.10,84,7155,26.09,,45.2,53.1,37.4
USR0000CPOP,POPPY PARK CALIFORNIA,34.7325,-118.3833,841.2,2007,2265,,,12,,,,115,,,,64.0,77.3,50.8
USW00003144,IMPERIAL CO AIRPORT,32.83417,-115.57861,-17.7,2007,4381,,,21,,,0.73,116,937,1.61,,74.3,89.4,59.1
USR0000CPOV,POVERTY CALIFORNIA,37.4431,-121.7706,629.7,2007,595,,,26,,,,99,3134,,,57.5,66.6,48.5
